;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;Decisions;;;;
end_moldavia_independence_title;End Moldavian Self Rule;;;;;;;;;;;;;
end_moldavia_independence_desc;Ever since the 1829 Treaty of Adrianople, Wallachia and Moldavia were placed under Russian military rule, without overturning Ottoman suzerainty. Under the Treaty of Adrianople, the Sultan guaranteed the previously promised autonomy to Serbia, promised autonomy for Greece, and allowed Russia to occupy Moldavia and Wallachia until the Ottoman Empire had paid a large indemnity. By establishing our dominance over these provinces, we can expel the Russian rulers and annex them back to the Ottoman Empire, centralizing rule and restoring order to these territories that belong in our empire. They can, however, resist, which would lead to war with them and potentially any Great Powers that support them. This decision will also sour our relations with other Great Powers, especially Russia.;;;;;;;;;;;;;
end_wallachia_independence_title;End Wallachian Self Rule;;;;;;;;;;;;;
end_wallachia_independence_desc;Ever since the 1829 Treaty of Adrianople, Wallachia and Moldavia were placed under Russian military rule, without overturning Ottoman suzerainty. Under the Treaty of Adrianople, the Sultan guaranteed the previously promised autonomy to Serbia, promised autonomy for Greece, and allowed Russia to occupy Moldavia and Wallachia until the Ottoman Empire had paid a large indemnity. By establishing our dominance over these provinces, we can expel the Russian rulers and annex them back to the Ottoman Empire, centralizing rule and restoring order to these territories that belong in our empire. They can, however, resist, which would lead to war with them and potentially any Great Powers that support them. This decision will also sour our relations with other Great Powers, especially Russia.;;;;;;;;;;;;;
end_romania_independence_title;End Romanian Self Rule;;;;;;;;;;;;;
end_romania_independence_desc;Ever since the 1829 Treaty of Adrianople, Wallachia and Moldavia were placed under Russian military rule, without overturning Ottoman suzerainty. Under the Treaty of Adrianople, the Sultan guaranteed the previously promised autonomy to Serbia, promised autonomy for Greece, and allowed Russia to occupy Moldavia and Wallachia until the Ottoman Empire had paid a large indemnity. By establishing our dominance over these provinces, we can expel the Russian rulers and annex them back to the Ottoman Empire, centralizing rule and restoring order to these territories that belong in our empire. They can, however, resist, which would lead to war with them and potentially any Great Powers that support them. This decision will also sour our relations with other Great Powers, especially Russia.;;;;;;;;;;;;;
russification_of_finland_title;The Integration of Finland;;;;;;;;;;;;;
russification_of_finland_desc;Having enjoyed prosperity and control over their own affairs, and having remained loyal subjects, the manifesto which the $MONARCHTITLE$ issued on $YEAR$ was cause for Finnish despair. The manifesto was forced through the Finnish senate by the deciding vote of the senate president, an appointee of the $MONARCHTITLE$ — and after the governor-general of Finland had threatened a military invasion and siege. While ostensibly affirming the Finns' rights in purely local matters, the manifesto asserted the authority of the state in any and all matters which could be considered to "come within the scope of the general legislation of the $COUNTRY_ADJ$ empire". The main policies enacted were:\nThe conscription law, incorporating the Finnish army into the $COUNTRY_ADJ$ army.\nThe Language Manifesto of $YEAR$ which made $COUNTRY_ADJ$ the language of administration of Finland.\nThe $COUNTRY_ADJ$ Church was the church of state, including, for example, criminalizing the act of subjecting a follower of said chuch to another church service.\nThe Manifesto of $YEAR$ which asserted the $COUNTRY_ADJ$ government's right to rule Finland without the consent of local legislative bodies, including control of the press if necssary and restrictions of $COUNTRY_ADJ$ currency and stamps as the only ones allowed.\nOur Finnish subjects will surely not like this and they might try to resist.;;;;;;;;;;;;;
taiwan_administration_title;Japanese Formosa;;;;;;;;;;;;;
taiwan_administration_desc;Japan now controls Formosa, and our modern administration will get rid of Gaijin names and change the island accordingly.;;;;;;;;;;;;;
proclaim_the_second_republic_title;Proclaim the second French Republic;;;;;;;;;;;;;x;;;;;;;;;;;
proclaim_the_second_republic_desc;Starting as a large-scale protest against the government of François Guizot, it later developed into a violent uprising against the monarchy. Thus, wreaking havoc all throughout Paris. After intense urban fighting, large crowds managed to take control of the capital, leading to the abdication of King Louis Philippe and the subsequent proclamation of the Second Republic.;;;;;;;;;;;;;x;;;;;;;;;;;
triumph_balkans_title;Triumph in the Balkans;;;;;;;;;;;;;x;;;;;;;;;;;
triumph_balkans_desc;By regaining control of our core Balkan posessions we can start dismantling the local identities created by the barbarian invaders and reestablish Greco-Roman as the reigning culture of the region.;;;;;;;;;;;;;x;;;;;;;;;;;
triumph_egypt_levant_title;Triumph in Egypt and the Levant;;;;;;;;;;;;;x;;;;;;;;;;;
triumph_egypt_levant_desc;By regaining control over Egypt and the Levant we can start dismantling the local identities created by the barbarian invaders and reestablish Greco-Roman as the reigning culture of these regions.;;;;;;;;;;;;;x;;;;;;;;;;;
doctrine_of_lapse_title;The Doctrine of Lapse;;;;;;;;;;;;;x;;;;;;;;;;;
doctrine_of_lapse_desc;The Doctrine of Lapse' was a British policy regarding Britain's Indian subject nations, the Princely States, that stated that any such nation could be immediately annexed by the British East India company if the ruler died without a direct heir, or if the ruler was found 'manifestly incompetent'. The doctrine was used historically to annex the states of Satara, Sambalpur, Nagpur, Jhansi and Awadh, the latter being annexation being one of the sparks that ignited the Sepoy Rebellion of 1857. The doctrine was repudiated with the Establishment of the British Raj in 1858. Due to the tragic state of affairs that pervades the government of $FROMCOUNTRY$, the East India Company today declared that country's independence null and void.;;;;;;;;;;;;;x;;;;;;;;;;;
continental_army_title;Reestablish the Continental Army;;;;;;;;;;;;;x;;;;;;;;;;;
continental_army_desc;The Continental Army was the army of the United Colonies representing the Thirteen Colonies and later the United States during the American Revolutionary War. It was formed on June 14, 1775, by a resolution passed by the Second Continental Congress, meeting in Philadelphia after the war's outbreak.;;;;;;;;;;;;;x;;;;;;;;;;;
american_rev_war_title;The Second American Revolutionary War;;;;;;;;;;;;;x;;;;;;;;;;;
american_rev_war_desc;In 1775 we revolted against tyrannical Britain, declaring our independence from their decadent empire soon after in 1776. Now the British scum are back at our shores trying to take that we fought so hard to achieve. We must reignite the revolutionary fervor to defend that which we hold most sacred, freedom.;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_ARG_title;Proclaim South American Hegemony;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_ARG_desc;Through might and conquest we have managed to impose ourselves as the hegemonic power of the South.\n\nThis allows your country to get immigrants all year long like the US does. It also removes that ability from anyone who previously used the decision;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_BRZ_title;Proclaim South American Hegemony;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_BRZ_desc;Through might and conquest we have managed to impose ourselves as the hegemonic power of the South.\n\nThis allows your country to get immigrants all year long like the US does. It also removes that ability from anyone who previously used the decision;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_CLM_title;Proclaim South American Hegemony;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_CLM_desc;Through might and conquest we have managed to impose ourselves as the hegemonic power of the South.\n\nThis allows your country to get immigrants all year long like the US does. It also removes that ability from anyone who previously used the decision;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_PEU_title;Proclaim South American Hegemony;;;;;;;;;;;;;x;;;;;;;;;;;
south_american_hegemon_PEU_desc;Through might and conquest we have managed to impose ourselves as the hegemonic power of the South.\n\nThis allows your country to get immigrants all year long like the US does. It also removes that ability from anyone who previously used the decision;;;;;;;;;;;;;x;;;;;;;;;;;
restore_burgundy_title;Restore the Crown of Burgundy;;;;;;;;;;;;;x;;;;;;;;;;;
restore_burgundy_desc;The dream of a revived Burgundy has lingered in the hearts of many since the fateful day at Nancy. While the Kingdom of the Netherlands holds the ancient Burgundian heartlands in Flanders and Brabant, the legacy of the Valois dukes—their ambition, their courtly splendor, their fleeting empire between France and Germany—remains a powerful historical ghost. We now possess the strength, prestige, and territorial reach to make this ghost a reality. Let us reassemble the Burgundian dominions, not as a mere duchy, but as a reborn kingdom, placing the House of Orange-Nassau upon a throne worthy of Charles the Bold himself.;;;;;;;;;;;;;x;;;;;;;;;;;
baltic_protectors_title;Baltic Protectors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_protectors_desc;The Baltic peoples never truly enjoyed independence, being contested between the Russians and the Germans. But in contrary to the Russians, we have a tradition of accepting the local cultures and integrate in our state! Long live the Norse rule of Livonia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_north_sea_title;Reforge the North Sea Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_north_sea_desc;The sagas still speak of it: a vast thalassocracy uniting the Northern seas under a single, mighty ruler. Cnut the Great’s realm, stretching from the icy shores of Norway to the white cliffs of England, was the apex of Nordic power—a network of trade, tribute, and tradition that made the North the center of the world. As the spiritual heirs to the Vikings and the united kings of the North, we now possess the strength to make the skalds sing anew. The path of the longships calls us. It is time to reclaim our destiny and forge a new empire of the waves, a crown of three kingdoms upon a single head.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;Events;;;;
EVTNAME200017;Rice Farming Techniques;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTDESC200017;Adds a modifier to compensate for us lowering Japan's LR so it's less rewarding to partition it;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTOPTA200017;Glorious Nippon rice, planted over 1000 times;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTNAME200101;Lost South American Hegemony;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTDESC200101;As we have lost control over either §GBuenos Aires§!, §GLima§! or §GRio de Janeiro§! we can no longer claim to be hegemonic.\n§RWe will no longer benefit from north american immigration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTOPTA200101;Death to South American Hugboxes;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTNAME200102;Lost South American Hegemony;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTDESC200102;As we have lost control over either §GRio de Janeiro§!, §GBuenos Aires§! or §GBogota§! we can no longer claim to be hegemonic.\n§RWe will no longer benefit from north american immigration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTOPTA200102;Death to South American Hugboxes;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
EVTNAME200103;Lost South American Hegemony;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;
